idPilota,nome,cognome,luogoDiNascita,nazionalita,dataDiNascita
000094,Ryusei,Yamanaka,Yotsukaidō,Giappone,2001/11/06
000095,Diogo,Moreira,São Paulo,Brasile,2004/04/23
000096,Matteo,Bertelle,Monselice,Italia,2004/02/18
000097,Elia,Bartolini,Cesena,Italia,2003/07/18
000098,Jaume,Masiá,Algemesí,Spagna,2000/10/31
000099,Daniel,Holgado,Alicante,Spagna,2005/04/27
000100,Adrián,Fernández,Madrid,Spagna,2004/01/31
000101,Deniz,Öncü,Alanya,Turchia,2003/07/26
000102,Hikari,Okubo,Tokyo,Giappone,1993/08/11
000103,Xavier,Cardelús,Andorra la Vella,Andorra,1998/05/15
000104,Dominique,Aegerter,Rohrbach,Svizzera,1990/09/30
000105,Matteo,Ferrari,Cesena,Italia,1997/02/12
000106,Yeray,Ruiz,Malaga,Spagna,2003/08/15
000107,Alessio,Finello,Torino,Italia,1998/02/27
000108,Eric,Granado,São Paulo,Brasile,1996/06/10
000109,Miquel,Pons,Palma de Mallorca,Spagna,1997/08/01
000110,Xavi,Forés,Llombai,Spagna,1985/09/16
000111,Kevin,Manfredi,Sarzana,Italia,1995/01/03
000112,Kevin,Zannoni,Cesena,Italia,2000/09/08
000113,Maria,Herrera,Oropesa,Spagna,1996/08/26
000114,Marc,Alcoba,Tarragona,Spagna,2000/09/01
000115,Mattia,Casadei,Rimini,Italia,1999/07/02
000116,Jordi,Torres,Rubí,Spagna,1987/08/27
000117,Massimo,Roccoli,Rimini,Italia,1984/11/27
000118,Héctor,Garzó,Paterna,Spagna,1998/06/09
000119,Alex,Escrig,Valencia,Spagna,2004/02/21
000120,Niccolò,Canepa,Genova,Italia,1988/05/14
000121,Bradley,Smith,Oxford,Regno Unito,1990/11/28
000122,Lukas,Tulovic,Eberbach,Germania,2000/06/15
000123,Andrea,Mantovani,Ferrara,Italia,1994/09/30
000124,André,Pires,Vila Pouca de Aguiar,Portogallo,1989/08/29
000125,Yonny,Hernández,Medellín,Colombia,1988/07/25
000126,Stefano,Valtulini,Calcinate,Italia,1996/07/05
000127,Jasper,Iwema,Hooghalen,Paesi Bassi,1989/11/15
000128,Corentin,Perolari,Bagnols-sur-Cèze,Francia,1998/04/13
000129,Andi Farid,Izdihar,Bulukumba Regency,Indonesia,1997/08/14
000130,Yuki,Kunii,Setagaya,Giappone,2003/02/18
000131,Takuma,Matsuyama,Yachiyōshi,Giappone,2004/11/09
000132,Jason,Dupasquier,Bulle,Svizzera,2001/09/07
000133,Maximilian,Kofler,Vöcklabruck,Austria,2000/08/18
000134,Yari,Montella,Oliveto Citra,Italia,2000/01/05
000135,Nicolò,Bulega,Montecchio Emilia,Italia,1999/10/16
000136,Tetsuta,Nagashima,Kanagawa,Giappone,1992/07/02
000137,Thomas,Lüthi,Oberdiessbach,Svizzera,1986/09/06
000138,Dimas Ekky,Pratama,Depok,Indonesia,1992/10/26
000139,Taiga,Hada,Tokyo,Giappone,1998/09/12
000140,Adam,Norrodin,Johor,Malesia,1998/06/13
000141,Xavi,Vierge,Barcelona,Spagna,1997/04/30
000142,Lorenzo,Baldassarri,San Severino Marche,Italia,1996/11/06
000143,Tommaso,Marcon,Cittadella,Italia,1999/12/26
000144,Hafizh,Syahrin,Selangor,Malesia,1994/05/05
000145,Fraser,Rogers,Swindon,Regno Unito,1995/12/19
000146,Cal,Crutchlow,Coventry,Regno Unito,1985/10/29
000147,Garrett,Gerloff,Spring,Stati Uniti,1995/08/01
000148,Iker,Lecuona,Valencia,Spagna,2000/01/06
000149,Danilo,Petrucci,Terni,Italia,1990/10/24
000150,Tito,Rabat,Barcelona,Spagna,1989/05/25
000151,Luca,Lunetta,Roma,Italia,2006/05/27
000152,Unai,Orradre,La Rioja,Spagna,2004/04/09
